"filename", "language", "JSON", "Ignore", "JavaScript", "JSON with Comments", "Properties", "Markdown", "HTML", "CSS", "TypeScript", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"d:\2023_2\DATN\web_page\src\pages\Login\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 4, 7, 110
"d:\2023_2\DATN\web_page\src\pages\ProductDetail\ProductDetail.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 4, 4, 112
"d:\2023_2\DATN\web_page\src\pages\ProductDetail\ProductDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 373, 0, 0, 11, 21, 405
"d:\2023_2\DATN\web_page\src\pages\Products\Product.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 3, 4, 119
"d:\2023_2\DATN\web_page\src\pages\Products\Products.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 2, 7, 222
"d:\2023_2\DATN\web_page\src\pages\Products\hocs\useProductFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 3, 12, 107
"d:\2023_2\DATN\web_page\src\pages\Register\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 15, 10, 159
"d:\2023_2\DATN\web_page\src\pages\ShoppingCart\ShoppingCart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 14, 358
"d:\2023_2\DATN\web_page\src\pages\ShoppingCart\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\pages\User\components\DateSelect\DateSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 5, 88
"d:\2023_2\DATN\web_page\src\pages\User\components\DateSelect\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\pages\User\components\UserSideNav\UserSideNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 3, 98
"d:\2023_2\DATN\web_page\src\pages\User\components\UserSideNav\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\pages\User\layouts\UserLayout\UserLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"d:\2023_2\DATN\web_page\src\pages\User\layouts\UserLayout\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\pages\User\pages\Address\Address.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 10, 69
"d:\2023_2\DATN\web_page\src\pages\User\pages\Address\Components\AddressItem\AddressItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 8, 9, 112
"d:\2023_2\DATN\web_page\src\pages\User\pages\Address\Components\InputChoiceProvinceDistrict\InputChoiceProvinceDistrict.style.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 11, 2, 125
"d:\2023_2\DATN\web_page\src\pages\User\pages\Address\Components\InputChoiceProvinceDistrict\InputChoiceProvinceDistrict.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 4, 11, 188
"d:\2023_2\DATN\web_page\src\pages\User\pages\Address\Components\InputChoiceWard\InputChoiceWard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 2, 6, 66
